Word,Pronunciation (RU),Translation,Example EN,Example RU,Level
pond,pоńd,пруд,I haven't been back home across the pond in twenty years.,Я не вернулся домой через пруд через двадцать лет.,A2
familiar,fэmиĺиэr,привычный,The witch’s familiar was a black cat.,Знакомые ведьмы была черной кошкой.,B2
familiarity,fэmиlи́эrиt,знакомство,The familiarity played an important role in the project.,Знакомство сыграло важную роль в проекте.,C1
unfamiliar,уnfэmи́lиэr,незнакомый,The concept of unfamiliar is interesting.,Концепция незнакомого интересна.,C1
familiarize,fэmиlи́эrиz,познакомиться,The team will familiarize according to the plan.,Команда познакомится в соответствии с планом.,C1
tap,tэ́p,кран,We don't have bottled water; you'll have to get it from the tap.,У нас нет воды в бутылках; Вам придется получить его от крана.,A1
column,cоlу́mn,столбец,"It was too hard to read the text across the whole page, so i split it into two columns.","Было слишком сложно прочитать текст по всей странице, поэтому я разделил его на два столбца.",B1
guilt,gуи́lt,вина,The guilt played an important role in the project.,Вина сыграла важную роль в проекте.,A2
guilty,gуиĺtй,виновный,He was guilty of cheating at cards.,Он был виновен в обмане в картах.,B1
arm,эŕm,рука,She stood with her right arm extended and her palm forward to indicate “stop!”,"Она стояла с вытянутой правой рукой, а ладонь вперед, чтобы указать «Стоп!»",A1
forearm,fоrи́эrm,предплечье,The forearm played an important role in the project.,Предплечье сыграло важную роль в проекте.,B1
chamber,чэmb́иr,камера,"The resolution, which speedily passed the senate, was unable to gain a majority in the lower chamber.","Резолюция, которая быстро прошла Сенат, не смогла получить большинство в нижней камере.",B1
owe,ов́и,быть должным,Modern owe has many applications.,Современный должен много применений.,A1
include,иncĺуdи,включать,I will purchase the vacation package if you will include car rental.,"Я куплю пакет для отдыха, если вы будете включать прокат автомобилей.",B1
inclusion,иnclу́sиоn,включение,The poem was a new inclusion in the textbook.,Стихотворение было новым включением в учебник.,B2
inclusive,иnclу́sиvи,включительно,An inclusive list of data formats,Инклюзивный список форматов данных,B2
inclusively,иnclуśиvиl,включительно,The process worked inclusively as expected.,"Процесс работал включительно, как и ожидалось.",C1
appoint,эppо́иnt,назначать,Understanding appoint is essential for success.,Понимание назначения необходимо для успеха.,B1
appointment,эppоиńtmиn,встреча,His appointment was deemed suitable,Его назначение считалось подходящим,C1
celebrate,cиlиb́rэtи,праздновать,To celebrate the name of the most high,Отпраздновать название самого высокого,B2
celebration,cиlиbŕэtио,Празднование,The concept of celebration is interesting.,Концепция празднования интересна.,C1
celebratory,cиlиbŕэtоr,праздничный,The celebratory played an important role in the project.,Празднование сыграло важную роль в проекте.,C1
abuse,эbу́sи,злоупотреблять,"All abuse, whether physical, verbal, psychological or sexual, is bad.","Все злоупотребления, будь то физическое, словесное, психологическое или сексуальное, плохо.",A2
abusive,эbуśиvи,оскорбительный,All they could ever do was to shout abusive inanities at me and my colleagues.,"Все, что они могли когда -либо сделать, - это кричать оскорбительные меры на меня и моих коллег.",B1
dig,dи́g,раскопать,He guffawed and gave me a dig in the ribs after telling his latest joke.,"Он пробил и дал мне копать в ребрах после того, как рассказал свою последнюю шутку.",A1
behavior,bиhэv́иоr,поведение,He was on his best behavior when her family visited.,"Он был в своем лучшем поведении, когда ее семья посетила.",B2
cable,cэb́lи,кабель,I tried to watch the movie last night but my cable was out.,"Я пытался посмотреть фильм вчера вечером, но мой кабель вышел.",A2
intelligent,иntиlĺиgиn,разумный,The engineer had a very intelligent design proposal for the new car.,У инженера было очень интеллектуальное проектное предложение для нового автомобиля.,C1
intelligence,иntиlĺиgиn,интеллект,Modern intelligence has many applications.,Современная интеллекта имеет много приложений.,C1
admit,эdḿиt,признавать,A ticket admits one into a playhouse.,Билет допускает один в театр.,A2
admission,эdmиśsиоn,допуск,I request admission for two adults,Я прошу приема для двух взрослых,B2
admittedly,эdmиtt́иdlй,по общему признанию,"Admittedly, vandalism is a bit of a problem.","По общему признанию, вандализм - это проблема.",C1
cream,crи́эm,крем,Take 100 ml of cream and 50 grams of sugar…,Возьмите 100 мл сливок и 50 граммов сахара ...,A2
creamy,crиэ́mй,кремовый,Creamy milk,Сливочное молоко,B1
ice cream,иcиcŕиэm,мороженое,Strawberries are particularly delicious with ice cream.,Клубника особенно вкусная с мороженым.,B2
appropriate,эpprоṕrиэt,соответствующий,Let no man appropriate the use of a common benefit.,Пусть ни один человек не подходит для использования общей выгоды.,C1
appropriation,эpprоṕrиэt,присвоение,Understanding appropriation is essential for success.,Понимание присвоения необходимо для успеха.,C1
root,rоо́t,корень,This tree's roots can go as deep as twenty metres underground.,Корни этого дерева могут пройти до двадцати метров под землей.,A2
compare,cоmṕэrи,сравнивать,Compare the tiger's coloration with that of the zebra.,Сравните окраску тигра с окраской зебры.,B1
comparable,cоmpэŕэblи,сопоставимо,An elephant is comparable in size to a double-decker bus.,Слон сопоставим по размеру с двухэтажным автобусом.,C1
incomparable,иncоmṕэrэb,несравненный,Her response was incomparable and thoughtful.,Ее ответ был несравненным и вдумчивым.,C1
comparative,cоmpэŕэtиv,сравнительный,Comparative anatomy,Сравнительная анатомия,C1
comparatively,cоmpэŕэtиv,сравнительно,Everything went comparatively during the meeting.,Все прошло сравнительно во время встречи.,C1
human,hуḿэn,человек,Humans share common ancestors with other apes.,Люди разделяют общих предков с другими обезьянами.,A2
inhuman,иnhу́mэn,бесчеловечный,Understanding inhuman is essential for success.,Понимание бесчеловечна необходимо для успеха.,B1
humanity,hуmэńиtй,человечество,Philosophy is a humanity while psychology is a science.,"Философия - это человечество, в то время как психология - это наука.",B2
slay,slэ́й,убить,You must slay these thoughts.,Вы должны убить эти мысли.,A2
persist,pиrśиst,сопротивляться,The persist played an important role in the project.,Состояние сыграло важную роль в проекте.,B1
persistent,pиrsиśtиnt,настойчивый,She has had a persistent cough for weeks.,У нее был постоянный кашель в течение нескольких недель.,C1
persistence,pиrsиśtиnc,упорство,You've got to admire his persistence. he's asked her out every day for a month even though she keeps turning him down.,"Вы должны восхищаться его настойчивостью. Он просит ее каждый день в течение месяца, хотя она продолжает отказываться от него.",C1
wide,виd́и,широкий,We walked down a wide corridor.,Мы шли по широкому коридору.,A2
widen,виd́иn,расширять,His eyes widened as her negligee fell to the floor.,"Его глаза расширились, когда ее неглигал упал на пол.",A2
width,виd́с,ширина,Manchester united like to play with width.,Манчестер Юнайтед любит играть с шириной.,A2
quarter,qуэŕtиr,четверть,Quarter the horses in the third stable.,Квартал лошадей в третьей конюшне.,B1
vanish,vэńиш,исчезнуть,A as in ale ordinarily ends with a vanish of i as in ill.,"А как в эле обычно заканчивается исчезновением я, как в больных.",B1
stir,stи́r,помешивать,Can you give the soup a little stir?,Можете ли вы немного перемешать суп?,A2
opening,оpиńиng,открытие,He remembered fondly the christmas morning opening of presents.,Он с любовью вспомнил рождественское утро открытия подарков.,B1
library,lиbŕэrй,библиотека,The library played an important role in the project.,Библиотека сыграла важную роль в проекте.,B1
librarian,lиbrэ́rиэn,библиотекарь,Modern librarian has many applications.,У современного библиотекаря много приложений.,B2
link,lиńk,связь,Click the hyperlink to go to the next page.,"Нажмите на гиперссылку, чтобы перейти на следующую страницу.",A2
linkage,lиnḱэgи,связь,A linkage in my car's transmission is broken so i can't shift out of first gear.,"Связанка в передаче моей машины сломана, поэтому я не могу сместиться из первой передачи.",B1
expose,иксṕоsи,разоблачать,Modern expose has many applications.,Современная экспонат имеет много применений.,B1
exposition,иксpоśиtиоn,экспозиция,"My reviewer said she couldn't picture the setting for my story, so i'm improving the exposition.","Мой рецензент сказала, что не может представить настройку моей истории, поэтому я улучшаю экспозицию.",C1
dig up,dиǵуp,выкапывать,The concept of dig up is interesting.,Концепция выкопания интересна.,B1
narrate,nэrŕэtи,повествовать,The team will narrate according to the plan.,Команда расскажет о плане.,B1
narrative,nэrrэ́tиvи,повествование,"The plot is full of holes, but the narrative is extremely compelling.","Сюжет полон отверстий, но повествование чрезвычайно убедительно.",B2
narration,nэrrэ́tиоn,повествование,Modern narration has many applications.,Современное повествование имеет много применений.,B2
enable,иnэb́lи,давать возможность,His parents enabled him to go on buying drugs.,Его родители позволили ему пойти на покупку наркотиков.,B1
laugh,lэу́gh,смех,His deep laughs boomed through the room.,Его глубокий смех пробился по комнате.,A2
example,иксэḿplи,пример,The example played an important role in the project.,Пример сыграл важную роль в проекте.,B1
for example,fоrикс́эmplи,например,Modern for example has many applications.,"Современный, например, имеет много приложений.",C1
stake,stэ́kи,доля,"We have surveyor's stakes at all four corners of this field, to mark exactly its borders.","У нас есть ставки геодезиста на всех четырех углах этой области, чтобы точно отметить его границы.",A2
decent,dиcи́nt,приличный,Are you decent? may i come in?,Вы порядочно? Могу я войти?,B1
indecent,иndиćиnt,непристойный,The indecent played an important role in the project.,Непригодный сыграл важную роль в проекте.,B2
decency,dиcи́ncй,порядочность,The decency played an important role in the project.,Порядочность сыграла важную роль в проекте.,B1
indecency,иndиćиncй,непристойность,Understanding indecency is essential for success.,Понимание непристойности необходимо для успеха.,B2
owing,ови́ng,в состав,These seven subscriptions remain owing.,Эти семь подписок остаются.,A2
glove,glо́vи,перчатка,I wore gloves to keep my hands warm.,"Я носил перчатки, чтобы держать руки теплыми.",A2
cure,cуŕи,излечивать,Understanding cure is essential for success.,Понимание лекарства необходимо для успеха.,A2
curable,cуrэ́blи,излечимый,The solution proved to be very curable.,Решение оказалось очень излечимым.,B1
incurable,иncуŕэblи,неизлечимый,The results were surprisingly incurable.,Результаты были на удивление неизлечимым.,B2
curative,cуrэt́иvи,лечебный,The curative power of the antibiotics introduced in the 1950s was amazing at the time.,"Лечебная сила антибиотиков, представленных в 1950 -х годах, была удивительной в то время.",B2
avoid,эvо́иd,избегать,I try to avoid the company of gamblers.,Я стараюсь избегать компании игроков.,A2
avoidance,эvоиd́эncи,избегание,The concept of avoidance is interesting.,Концепция избегания интересна.,B2
think over,сиnkо́vиr,Подумайте,Understanding think over is essential for success.,Понимание мысли имеет важное значение для успеха.,C1
think through,сиnkс́rоу,продумывать,Understanding think through is essential for success.,Понимание обдумывания необходимо для успеха.,C1
emerge,иmиŕgи,появляться,He emerged unscathed from the accident.,Он вышел невредимым после аварии.,B1
emergent,иmиrǵиnt,возникающий,Modern emergent has many applications.,Современный Emergent имеет много применений.,B2
emergence,иmиrǵиncи,появление,The emergence played an important role in the project.,Появление сыграло важную роль в проекте.,B2
take,tэḱи,брать,"What's your take on this issue, fred?","Что вы думаете о этой проблеме, Фред?",A2
fisherman,fишиŕmэn,Рыбак,Understanding fisherman is essential for success.,Понимание рыбака необходимо для успеха.,B2
fishery,fиши́rй,промысел,Modern fishery has many applications.,Современный промысел имеет много применений.,B1
conscious,cоnsćиоуs,сознательный,"The noise woke me, but it was another few minutes before i was fully conscious.","Шум разбудил меня, но прошло еще несколько минут, прежде чем я был полностью сознательным.",B2
unconscious,уncоnścиоу,бессознательный,After the anesthetist administered the general anesthetic the patient was unconscious.,"После того, как анестезиолог вводил общий анестетик, пациент был без сознания.",C1
consciousness,cоnscи́оуsn,сознание,The concept of consciousness is interesting.,Концепция сознания интересна.,C1
subconscious,sуbcоńscио,подсознание,A person can sometimes wake up knowing the solution to a problem that their subconscious has been working on.,"Иногда человек может проснуться, зная решение проблемы, над которой работает их подсознание.",C1
subconsciousness,sуbcоńscио,подсознание,The concept of subconsciousness is interesting.,Концепция подсознания интересна.,C1
detect,dиtи́ct,обнаруживать,Understanding detect is essential for success.,Понимание обнаружения имеет важное значение для успеха.,B1
anywhere,эnйвh́иrи,где угодно,I don't know where i left my keys. they could be anywhere.,"Я не знаю, где я оставил свои ключи. Они могут быть где угодно.",B2
anyhow,эnйh́ов,Во всяком случае,"Anyhow, he is dead now.","Во всяком случае, он сейчас мертв.",B1
dare,dэŕи,осмеливаться,I wouldn't dare argue with my boss.,Я бы не осмелился спорить со своим боссом.,A2
anger,эnǵиr,злость,You need to control your anger.,Вам нужно контролировать свой гнев.,A2
stuff,stу́ff,вещи,What is all that stuff on your bedroom floor?  he didn't want his pockets to bulge so he was walking around with all his stuff in his hands.,"Что все это за пол в вашей спальне?  Он не хотел, чтобы его карманы выпячивались, поэтому он ходил со всеми своими делами в руках.",A2
fortunate,fоrtу́nэtи,повезло,It is a fortunate sign if the sun shines on a newly wedded couple.,"Это счастливый знак, если солнце светит на недавно сваренную пару.",B2
fortunately,fоrtуńэtиl,к счастью,"Fortunately, sam's pet hamster was not dead.","К счастью, домашний хомяк Сэма не был мертв.",C1
unfortunately,уnfоrt́уnэt,к сожалению,She handled the situation unfortunately.,"К сожалению, она справилась с ситуацией.",C1
unfortunate,уnfоrt́уnэt,несчастный,It's important to unfortunate properly in this case.,В этом случае важно должным образом.,C1
wilderness,виldиŕnиss,пустыня,Understanding wilderness is essential for success.,Понимание дикой природы необходимо для успеха.,C1
shut out,шуtо́уt,выключить,The high wall shut out the countryside beyond.,Высокая стена закрыла сельскую местность за пределами.,B2
shut in,шуt́иn,закрыть,The shut in played an important role in the project.,Закрытие сыграло важную роль в проекте.,B1
noise,nои́sи,шум,"He knew that it was trash day, when the garbage collectors made all the noise.","Он знал, что это был день мусора, когда коллекционеры мусора издали весь шум.",A2
noisy,nои́sй,шумный,The noisy crowd.,Шумная толпа.,A2
noiseless,nоиsи́lиss,Бесшнутый,The movements of the cat were noiseless as it approached the mousehole.,"Движения кошки были бесшумными, когда она приближалась к мыше.",B2
fat,fэ́t,толстый,We need to trim the fat in this company,Нам нужно обрезать жир в этой компании,A1
fatness,fэtńиss,жирность,The concept of fatness is interesting.,Концепция жировости интересна.,B1
fatten,fэtt́иn,открас,We must fatten the turkey in time for thanksgiving.,Мы должны откормить индейку как раз к Дню благодарения.,B1
fail,fэи́l,неудача,The project was full of fail.,Проект был полон неудачи.,A2
steady,stиэ́dй,устойчивый,Hold the ladder steady while i go up.,"Держите лестницу устойчивой, пока я поднимаюсь.",B1
steadiness,stиэdи́nиss,устойчивость,Modern steadiness has many applications.,Современная устойчивость имеет много применений.,C1
unsteady,уnstи́эdй,нестабильный,A slightly unsteady item of furniture.,Слегка неустойчивый предмет мебели.,B2
loss,lоśs,потеря,"In other areas, glacier loss creates serious risk of a dry period across the third pole, wang said.","В других областях потеря ледника создает серьезный риск сухого периода на третьем полюсе, сказал Ван.",A2
path,pэ́с,путь,"The path of a meteor, of a caravan, or of a storm","Путь метеора, каравана или шторма",A2
pathway,pэсв́эй,путь,The concept of pathway is interesting.,Концепция пути интересна.,B1
upside down,уpsиdи́dовn,с ног на голову,The pattern resembled an upside down letter w.,Образец напоминал перевернутую букву w.,C1
cozy,cоźй,уютный,The cozy played an important role in the project.,Уютный сыграл важную роль в проекте.,A2
depict,dиpи́ct,изображение,The depict played an important role in the project.,Изображение сыграло важную роль в проекте.,B1
depiction,dиpиćtиоn,описание,Understanding depiction is essential for success.,Понимание изображения имеет важное значение для успеха.,B2
room,rоо́m,комната,Go to your room!,Иди в свою комнату!,A2
roomy,rоо́mй,просторно,Our new apartment is roomy enough to accommodate all our furniture.,"Наша новая квартира достаточно просторная, чтобы разместить всю нашу мебель.",A2
lens,lиńs,объектив,The concept of lens is interesting.,Концепция объектива интересна.,A2
tail,tэи́l,хвост,Most primates have a tail and fangs.,Большинство приматов имеют хвост и клыки.,A2
tails,tэи́ls,хвосты,This vessel tails downstream.,Это судно хвосты вниз по течению.,A2
tailed,tэиĺиd,хвоста,There are several tailed species of mammals.,Есть несколько хвостовых видов млекопитающих.,B1
can,cэ́n,может,"She can speak english, french, and german.   i can play football.   can you remember your fifth birthday?","Она может говорить по -английски, французски и по -немецки.   Я могу играть в футбол.   Вы можете вспомнить свой пятый день рождения?",A1
canned,cэnńиd,консервированный,They canned air to sell as a novelty to tourists.,"Они консервировали воздух, чтобы продавать в качестве новинки туристам.",B1
flour,flо́уr,мука,Mustard flour,Горчичная мука,A2
magazine,mэgэźиnи,журнал,The magazine played an important role in the project.,Журнал сыграл важную роль в проекте.,B2
tense,tиńsи,напряженный,English only has a present tense and a past tense; it has no future tense.,У английского есть только нынешнее время и прошедшее время; У него нет будущего напряженного.,A2
tension,tиnśиоn,напряжение,We tensioned the cable until it snapped.,"Мы натяживали кабель, пока он не сломался.",B1
way,вэ́й,способ,You're going about it the wrong way.  he's known for his quirky ways.  i don't like the way she looks at me.,"Вы идете неправильно.  Он известен своими причудливыми способами.  Мне не нравится, как она смотрит на меня.",A1
split,spĺиt,расколоть,He’s got a nasty split.,У него неприятный раскол.,A2
ring,rиńg,кольцо,Onion rings,Лук кольца,A2
thumb,суḿb,большой палец,"2001, ""gary"", wanna see porn? take a look at these (free expandable thumbs) - click here (on newsgroup alt.sex.services)","2001, ""Гари"", хочешь увидеть порно? Взгляните на эти (бесплатные расширяемые большие пальцы) - Нажмите здесь (на новостной группе alt.sex.services)",A2
boundary,bоуnd́эrй,граница,The boundary played an important role in the project.,Граница сыграла важную роль в проекте.,B2
wage,вэǵи,заработная плата,"Before her promotion, her wages were 20% less.",Перед ее продвижением заработная плата была на 20% меньше.,A2
point,pои́nt,точка,Point de venise; brussels point,Пойнт де Венез; Брюссельский пункт,A2
pointless,pоиnt́lиss,бессмысленный,A pointless knife,Бессмысленный нож,B2
favor,fэv́оr,услуга,He did me a favor when he took the time to drive me home.,"Он сделал мне одолжение, когда нашел время, чтобы отвезти меня домой.",A2
favourite,fэvоу́rиtи,любимый,The teacher's favourite always went first.,Любимый учитель всегда был первым.,B2
favorable,fэvоŕэblи,благоприятный,The results were surprisingly favorable.,Результаты были на удивление благоприятны.,B2
unfavorable,уnfэvо́rэbl,неблагоприятный,This approach is quite unfavorable for our needs.,Этот подход довольно неблагоприятен для наших потребностей.,C1
chef,чи́f,шеф -повар,Kiss the chef. (slogan on aprons used by home barbecue enthusiasts),"Поцелуй шеф -повара. (лозунг на фартуках, используемых любителями барбекю дома)",A2
considerable,cоnsиd́иrэb,значительно,I've spent a considerable amount of time on this.,Я потратил на это значительное количество времени.,C1
inconsiderable,иncоnśиdиr,незначительный,The solution proved to be very inconsiderable.,Решение оказалось очень незначительным.,C1
multiple,mуltи́plи,несколько,"14, 21 and 70 are multiples of 7","14, 21 и 70 многочисленны 7",B2
lessen,lиsśиn,уменьшить,Understanding lessen is essential for success.,Понимание уменьшения важно для успеха.,B1
landmark,lэndḿэrk,достопримечательность,A landmark paper in neurosurgery,Знаковая бумага в нейрохирургии,B2
solid,sоĺиd,твердый,I owe him; he did me a solid last year.,Я должен ему; В прошлом году он сделал мне твердое.,A2
herb,hиŕb,трава,"If any medicinal herbs used by witches were supposedly evil, then how come people from at least the past benefited from the healing properties of such herbs?","Если какие -либо лекарственные травы, используемые ведьмами, были якобы злыми, то почему люди, по крайней мере, из прошлого, получили пользу от исцеляющих свойств таких трав?",A2
herbal,hиrb́эl,травяной,Herbal tea has a nice aroma and is good for a stuffy head.,Травяной чай имеет хороший аромат и хорош для душной головы.,B1
topic,tоṕиc,тема,"A society where a topic cannot be discussed, does not have free speech.","Общество, где тему не может быть обсуждена, не имеет свободы слова.",A2
topical,tоpи́cэl,актуально,The book is divided into topical chapters.,Книга разделена на актуальные главы.,B1
hurt,hуŕt,повредить,How to overcome old hurts of the past,Как преодолеть старые боль в прошлом,A2
affiliate,эffиĺиэtи,филиал,Our local tv channel is an affiliate of nbc.,Наш местный телеканал является филиалом NBC.,B2
affiliated,эffиlи́эtиd,аффилирован,We are not affiliated with any commercial publisher.,Мы не связаны с каким -либо коммерческим издателем.,C1
affiliation,эffиlи́эtио,принадлежность,Understanding affiliation is essential for success.,Понимание принадлежности необходимо для успеха.,C1
anxiety,эnкси́иtй,беспокойство,Modern anxiety has many applications.,Современное беспокойство имеет много применений.,B1
wave,вэv́и,волна,The flag waved in the gentle breeze.,Флаг махал на мягком ветре.,A2
long ago,lоnǵэgо,давно,There was a roman fort here long ago.,Здесь был римский форт давно.,B2
space,spэ́cи,космос,Modern space has many applications.,Современное пространство имеет много применений.,A2
spacious,spэcи́оуs,просторный,The apartment has a spacious bedroom.,В квартире есть просторная спальня.,B2
spatial,spэt́иэl,пространственный,The solution proved to be very spatial.,Решение оказалось очень пространственным.,B1
cord,cоŕd,шнур,He looped some cord around his fingers.,Он забрал немного шнура вокруг пальцев.,A2
vision,vиsи́оn,зрение,"He tried drinking from the pool of water, but realized it was only a vision.","Он попытался выпить из лужи воды, но понял, что это было только видение.",B1
visionary,vиsио́nэrй,провидца,A visionary scheme or project,Дальновидная схема или проект,B2
dozen,dоźиn,дюжина,"Can i have a dozen eggs, please?","Можно мне дюжину яиц, пожалуйста?",A2
several,sиvи́rэl,несколько,The results were surprisingly several.,Результаты были на удивление несколько.,B1
terms,tиŕms,условия,"""alright, look...we can spend the holidays with your parents, but this time it will be on my terms.""","«Хорошо, посмотри ... мы можем провести праздники с родителями, но на этот раз это будет на моих условиях».",A2
generous,gиnиŕоуs,щедрый,Thank you for your generous words.,Спасибо за ваши щедрые слова.,B2
generosity,gиnиrо́sиtй,щедрость,Modern generosity has many applications.,Современная щедрость имеет много приложений.,C1
bay,bэ́й,залив,The bay played an important role in the project.,Бэй сыграл важную роль в проекте.,A1
duty,dуt́й,долг,We don't have a duty to keep you here.,Мы не обязаны держать вас здесь.,A2
dutiful,dуtи́fуl,послушный,"Ralph was a dutiful child, and took the trash out without being told.","Ральф был послушным ребенком и вытащил мусор, не сказав.",B1
database,dэtэb́эsи,база данных,I have a database of all my contacts in my personal organizer.,У меня есть база данных всех моих контактов в моем личном организаторе.,B2
prompt,prоḿpt,быстрый,I filled in my name where the prompt appeared on the computer screen but my account wasn't recognized.,"Я заполнил свое имя, где на экране компьютера появилась подсказка, но моя учетная запись не была признана.",B1
prompting,prоmṕtиng,подсказка,They decided to prompting the situation carefully.,Они решили тщательно побудить ситуацию.,B2
observe,оbsи́rvи,наблюдать,From this vantage point we can observe the behavior of the animals in their natural habitat.,С этой точки зрения мы можем наблюдать поведение животных в их естественной среде обитания.,B1
observation,оbsиrv́эtио,наблюдение,The observation played an important role in the project.,Наблюдение сыграло важную роль в проекте.,C1
observer,оbsиŕvиr,наблюдатель,Most impartial observers agreed that sampras had not served well.,"Большинство беспристрастных наблюдателей согласились с тем, что Sampras плохо служил.",B2
spill,spи́ll,разливать,The bruise is from a bad spill he had last week.,"Ушиб из плохого разлива, который он имел на прошлой неделе.",A2
brief,brи́иf,краткий,We got a news brief.,Мы получили новости.,A2
neck,nиćk,шея,Giraffes have long necks.,У жирафов длинные шеи.,A2
society,sоcи́иtй,общество,This society has been known for centuries for its colorful clothing and tight-knit family structure.,Это общество на протяжении веков известно своей красочной одеждой и сплоченной семейной структурой.,B1
societal,sоcии́tэl,Социальный,The results were surprisingly societal.,Результаты были на удивление общества.,B2
weak,виэ́k,слабый,The child was too weak to move the boulder.,"Ребенок был слишком слаб, чтобы переместить валун.",A2
weakness,виэkńиss,слабость,"In a small number of horses, muscle weakness may progress to paralysis.",У небольшого количества лошадей мышечная слабость может прогрессировать до паралича.,B2
weaken,виэḱиn,ослабить,The weaken played an important role in the project.,Ослабление сыграло важную роль в проекте.,B1
result in,rиsуĺtиn,привести к,The result in played an important role in the project.,Результат в сыграл важную роль в проекте.,B2
result,rиsу́lt,результат,The result of a course of action;  the result of a mathematical operation,Результат действия действий;  результат математической операции,B1
day off,dэйо́ff,выходной,"After the accident, he took a day off.",После аварии он взял выходной.,B1
customs,cуst́оms,таможня,Customs of £200 were due on all the wine we took back from france.,"Таможня в размере 200 фунтов стерлингов должна была прийти на все вино, которое мы взяли из Франции.",B1
greet,grи́иt,приветствовать,A brilliant dawn greeted her eyes as she looked out of the window.,"Блестящий рассвет приветствовал ее глаза, когда она смотрела из окна.",A2
greeting,grииt́иng,приветствие,"It's polite to begin a letter with a greeting, but this practice is less common in email.","Вежливо начинать письмо с приветствия, но эта практика встречается реже в электронной почте.",B2
edge,иdǵи,край,I have the edge on him.,У меня есть преимущество на нем.,A2
edged,иdǵиd,щит,He edged the book across the table.,Он обогнал книгу через стол.,A2
edgy,иdǵй,острый,An edgy temper,Острый характер,A2
preserve,prиsи́rvи,сохранять,Every people have the right to preserve its identity and culture.,Каждый человек имеет право сохранять свою идентичность и культуру.,B2
preservation,prиsиŕvэtи,сохранение,Modern preservation has many applications.,Современное сохранение имеет много применений.,C1
handsome,hэndśоmи,красивый,"A handsome garment, house, tree, or horse","Красивая одежда, дом, дерево или лошадь",B2
lack,lэćk,недостаток,My life lacks excitement.,В моей жизни не хватает волнения.,A2
skin,skи́n,кожа,He is so disgusting he makes my skin crawl.,"Он настолько отвратительна, что заставляет мою кожу ползать.",A2
encourage,иncоу́rэgи,поощрять,I encouraged him during his race.,Я поощрял его во время его расы.,B2
encouragement,иncоуŕэgиm,поощрение,The encouragement played an important role in the project.,Поощрение сыграло важную роль в проекте.,C1
discourage,dиscоу́rэgи,обескураживать,Don't be discouraged by the amount of work left to do: you'll finish it in good time.,Не разочаровывайтесь в объеме оставшейся работы: вы закончите это в хорошее время.,C1
